id,name,skin,ingredients,price
1,AcneFree 121,Madura,"Aceite de Jojoba, Avena Coloidal",139.05
2,UltraSmooth 126,Seca,"Ácido Salicílico, Urea, Pantenol, Ácido Láctico",197.09
3,OilControl 259,Mixta,"Manteca de Karité, Agua Termal, Niacinamida",91.04
4,OilControl 24,Madura,"Aloe Vera, Ácido Ferúlico",186.8
5,CeraPlus 139,Todo tipo,"Aceite de Jojoba, Zinc, Ácido Hialurónico, Ácido Ferúlico",90.99
6,AgeDefy 258,Madura,"Ceramidas, Extracto de Té Verde",186.12
7,DermaFix 91,Grasa,"Manteca de Karité, Pantenol, Zinc",170.68
8,Daily Moist 112,Mixta,"Glicerina, Pantenol, Ácido Hialurónico, Ceramidas",92.32
9,RegenX 67,Todo tipo,"Peptidos, Avena Coloidal, Zinc",104.12
10,AcneFree 193,Acneica,"Avena Coloidal, Ácido Ferúlico",112.88
11,Radiant Day 200,Acneica,"Avena Coloidal, Agua Termal",74.28
12,Hydra Boost 83,Todo tipo,"Extracto de Té Verde, Aloe Vera, Retinol, Ácido Ferúlico",150.34
13,Clear Skin 80,Sensible,"Vitamina C, Manteca de Karité",184.02
14,Radiant Day 6,Sensible,"Glicerina, Extracto de Té Verde, Pantenol, Aloe Vera",105.41
15,Aqua Balm 100,Sensible,"Zinc, Urea, Ácido Hialurónico, Avena Coloidal",131.25
16,SunShield 38,Acneica,"Zinc, Ceramidas, Aloe Vera",8.68
17,AcneFree 239,Acneica,"Manteca de Karité, Ácido Salicílico",88.19
18,AgeDefy 99,Mixta,"Avena Coloidal, Ácido Hialurónico, Vitamina C",57.92
19,Aqua Balm 37,Normal,"Peptidos, Niacinamida, Aloe Vera, Ácido Ferúlico",31.59
20,SkinPure 10,Seca,"Ácido Láctico, Glicerina, Ceramidas, Agua Termal",150.26
21,Radiant Day 282,Todo tipo,"Ácido Láctico, Urea, Vitamina C",112.48
22,Daily Moist 188,Seca,"Peptidos, Ácido Ferúlico",81.92
23,Glow Serum 237,Normal,"Ceramidas, Zinc, Ácido Salicílico",7.57
24,CeraPlus 280,Mixta,"Manteca de Karité, Niacinamida",45.0
25,Clear Skin 191,Todo tipo,"Urea, Aloe Vera, Retinol",54.71
26,Daily Moist 199,Acneica,"Agua Termal, Pantenol, Aloe Vera",53.03
27,RegenX 292,Normal,"Extracto de Té Verde, Ácido Ferúlico, Ceramidas",54.63
28,Hydra Boost 175,Mixta,"Ácido Láctico, Avena Coloidal, Agua Termal, Ácido Salicílico",136.23
29,BrightFix 219,Seca,"Ácido Salicílico, Avena Coloidal",180.48
30,Glow Serum 95,Sensible,"Glicerina, Aceite de Jojoba, Ácido Ferúlico",96.28
31,SunShield 217,Seca,"Ceramidas, Pantenol, Avena Coloidal, Glicerina",61.08
32,CeraPlus 206,Mixta,"Zinc, Aceite de Jojoba, Pantenol, Agua Termal",51.3
33,Radiant Day 36,Seca,"Avena Coloidal, Ácido Láctico, Aloe Vera",92.03
34,NutriGlow 219,Mixta,"Ceramidas, Ácido Hialurónico, Niacinamida, Ácido Salicílico",115.66
35,BrightFix 19,Todo tipo,"Avena Coloidal, Niacinamida, Manteca de Karité",74.65
36,Hydra Boost 152,Seca,"Zinc, Ceramidas",71.24
37,Hydra Boost 12,Seca,"Aloe Vera, Urea",79.35
38,RegenX 209,Mixta,"Aceite de Jojoba, Ácido Hialurónico, Ácido Láctico",99.41
39,OilControl 282,Seca,"Ácido Láctico, Extracto de Té Verde, Ácido Salicílico",8.81
40,NightCare 104,Acneica,"Aceite de Jojoba, Ácido Ferúlico, Aloe Vera",83.87
41,Clear Skin 151,Todo tipo,"Retinol, Zinc",48.17
42,OilControl 101,Madura,"Aloe Vera, Aceite de Jojoba, Urea",59.26
43,NutriGlow 193,Sensible,"Retinol, Manteca de Karité, Zinc, Niacinamida",40.77
44,CeraPlus 33,Grasa,"Retinol, Ácido Salicílico",108.65
45,NutriGlow 226,Todo tipo,"Ácido Ferúlico, Ceramidas, Niacinamida, Retinol",49.8
46,RegenX 61,Mixta,"Ácido Ferúlico, Zinc, Aloe Vera",49.07
47,Hydra Boost 221,Mixta,"Ácido Láctico, Ceramidas",148.0
48,BrightFix 214,Todo tipo,"Ácido Hialurónico, Ácido Salicílico, Zinc, Ácido Ferúlico",171.62
49,UltraSmooth 54,Normal,"Manteca de Karité, Extracto de Té Verde, Pantenol",43.94
50,Hydra Boost 197,Acneica,"Aceite de Jojoba, Aloe Vera, Retinol, Ácido Salicílico",103.02
51,RegenX 255,Mixta,"Pantenol, Ácido Hialurónico, Aceite de Jojoba, Agua Termal",175.55
52,Radiant Day 67,Sensible,"Aloe Vera, Extracto de Té Verde, Ceramidas",52.32
53,Radiant Day 273,Grasa,"Ácido Láctico, Ácido Salicílico",32.34
54,NightCare 44,Acneica,"Avena Coloidal, Ácido Ferúlico",168.0
55,SunShield 266,Grasa,"Glicerina, Avena Coloidal, Ácido Láctico, Ácido Hialurónico",120.45
56,OilControl 145,Acneica,"Ácido Ferúlico, Urea, Pantenol",172.82
57,BrightFix 33,Todo tipo,"Pantenol, Niacinamida, Ácido Ferúlico",193.02
58,Glow Serum 199,Todo tipo,"Ácido Salicílico, Ácido Ferúlico",158.96
59,Hydra Boost 40,Grasa,"Manteca de Karité, Peptidos, Aloe Vera, Zinc",61.51
60,Clear Skin 187,Madura,"Zinc, Avena Coloidal, Vitamina C, Pantenol",54.99
61,SunShield 219,Mixta,"Zinc, Avena Coloidal, Manteca de Karité, Ceramidas",32.86
62,Glow Serum 21,Todo tipo,"Urea, Pantenol",163.17
63,Fresh Dew 172,Normal,"Ácido Hialurónico, Urea",144.02
64,NutriGlow 207,Madura,"Aloe Vera, Agua Termal, Avena Coloidal, Peptidos",20.98
65,DermaFix 33,Todo tipo,"Vitamina C, Ácido Ferúlico",184.26
66,BrightFix 267,Grasa,"Retinol, Manteca de Karité, Avena Coloidal",66.17
67,Clear Skin 141,Mixta,"Avena Coloidal, Retinol, Ácido Ferúlico",154.12
68,BrightFix 183,Grasa,"Peptidos, Extracto de Té Verde",20.04
69,Glow Serum 84,Acneica,"Peptidos, Ácido Hialurónico, Retinol, Ácido Ferúlico",122.22
70,NutriGlow 141,Sensible,"Vitamina C, Niacinamida, Zinc, Agua Termal",42.84
71,SunShield 52,Acneica,"Ácido Ferúlico, Retinol",111.95
72,NightCare 236,Normal,"Agua Termal, Aloe Vera, Pantenol",96.47
73,NutriGlow 279,Sensible,"Ácido Ferúlico, Vitamina C, Agua Termal, Pantenol",82.31
74,Silky Touch 63,Mixta,"Ceramidas, Pantenol",48.48
75,Hydra Boost 173,Madura,"Peptidos, Zinc, Glicerina",96.11
76,Clear Skin 205,Grasa,"Pantenol, Ceramidas, Aloe Vera, Ácido Láctico",191.15
77,DermaFix 171,Acneica,"Agua Termal, Aceite de Jojoba, Extracto de Té Verde, Retinol",128.98
78,Hydra Boost 137,Mixta,"Ácido Láctico, Extracto de Té Verde, Glicerina",55.65
79,NutriGlow 166,Todo tipo,"Aceite de Jojoba, Ácido Ferúlico",96.4
80,BrightFix 134,Grasa,"Avena Coloidal, Retinol, Ácido Salicílico",165.8
81,DermaFix 149,Mixta,"Ácido Salicílico, Zinc, Peptidos, Aloe Vera",106.73
82,CeraPlus 94,Madura,"Urea, Ácido Salicílico, Aceite de Jojoba, Avena Coloidal",156.43
83,SkinPure 231,Grasa,"Retinol, Agua Termal, Urea, Manteca de Karité",26.62
84,RegenX 96,Mixta,"Ácido Hialurónico, Vitamina C, Aceite de Jojoba, Avena Coloidal",22.89
85,Silky Touch 44,Grasa,"Extracto de Té Verde, Ácido Hialurónico, Ceramidas",128.04
86,Aqua Balm 84,Mixta,"Ácido Ferúlico, Urea, Aloe Vera",167.97
87,AgeDefy 100,Acneica,"Urea, Aceite de Jojoba, Ácido Ferúlico, Extracto de Té Verde",79.67
88,AgeDefy 182,Grasa,"Extracto de Té Verde, Ácido Ferúlico, Manteca de Karité, Niacinamida",117.64
89,NutriGlow 187,Todo tipo,"Pantenol, Niacinamida, Ácido Láctico",178.2
90,AcneFree 103,Normal,"Ácido Salicílico, Retinol",75.67
91,Hydra Boost 89,Seca,"Niacinamida, Ácido Láctico",186.26
92,SkinPure 142,Seca,"Aloe Vera, Ácido Hialurónico, Avena Coloidal",111.96
93,Clear Skin 117,Madura,"Ácido Salicílico, Vitamina C",162.9
